cve,timestamp,source,text
CVE-2025-2783,2025-05-16,bleeping computer,"On Thursday, CISA warned U.S. federal agencies to secure their systems against ongoing attacks exploiting a high-severity vulnerability in the Chrome web browser. Solidlab security researcher Vsevolod Kokorin discovered the flaw (CVE-2025-4664) and shared technical details online on May 5th. Googlereleased security updatesto patch it on Wednesday. As Kokorin explained, the vulnerability isdueto insufficient policy enforcement in Google Chrome's Loader component, and successful exploitation can allow remote attackers to leak cross-origin data via maliciously crafted HTML pages. ""You probably know that unlike other browsers, Chrome resolves the Link header on subresource requests. But what's the problem? The issue is that the Link header can set a referrer-policy. We can specify unsafe-url and capture the full query parameters,""Kokorin noted. ""Query parameters can contain sensitive data - for example, in OAuth flows, this might lead to an Account Takeover. Developers rarely consider the possibility of stealing query parameters via an image from a 3rd-party resource."" While Google didn't disclose if the vulnerability was previously abused in attacks or if it's still being exploited, it warned in a security advisory that it has a public exploit, which is how it usually hints at active exploitation. One day later,CISA confirmedCVE-2025-4664 is being abused in the wild and added it to theKnown Exploited Vulnerabilities catalog, which lists security flaws actively exploited in attacks. As mandated by the November 2021 Binding Operational Directive (BOD) 22-01, U.S. Federal Civilian Executive Branch (FCEB) agencies must patch their Chrome installation within three weeks, by May 7th, to secure their systems against potential breaches. While this directive only applies to federal agencies, all network defenders are advised to prioritize patching this vulnerability as soon as possible. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,"" the cybersecurity agency warned. This is the second actively exploited Chrome zero-day patched by Google this year, afteranother high-severity Chrome zero-daybug (CVE-2025-2783), which was abused to target Russian government organizations, media outlets, and educational institutions in cyber-espionage attacks. Kaspersky researchers who spotted the zero-day attacks said that the threat actors used CVE-2025-2783 exploits to bypass Google Chrome's sandbox protections and infect targets with malware. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Google tags a tenth Chrome zero-day as exploited this year Google fixes Android zero-days exploited in attacks, 60 other flaws CISA emergency directive: Mitigate Ivanti zero-days immediately Google fixes Chrome zero-day exploited in espionage campaign Google fixes high severity Chrome flaw with public exploit"
CVE-2025-4664,2025-05-16,bleeping computer,"On Thursday, CISA warned U.S. federal agencies to secure their systems against ongoing attacks exploiting a high-severity vulnerability in the Chrome web browser. Solidlab security researcher Vsevolod Kokorin discovered the flaw (CVE-2025-4664) and shared technical details online on May 5th. Googlereleased security updatesto patch it on Wednesday. As Kokorin explained, the vulnerability isdueto insufficient policy enforcement in Google Chrome's Loader component, and successful exploitation can allow remote attackers to leak cross-origin data via maliciously crafted HTML pages. ""You probably know that unlike other browsers, Chrome resolves the Link header on subresource requests. But what's the problem? The issue is that the Link header can set a referrer-policy. We can specify unsafe-url and capture the full query parameters,""Kokorin noted. ""Query parameters can contain sensitive data - for example, in OAuth flows, this might lead to an Account Takeover. Developers rarely consider the possibility of stealing query parameters via an image from a 3rd-party resource."" While Google didn't disclose if the vulnerability was previously abused in attacks or if it's still being exploited, it warned in a security advisory that it has a public exploit, which is how it usually hints at active exploitation. One day later,CISA confirmedCVE-2025-4664 is being abused in the wild and added it to theKnown Exploited Vulnerabilities catalog, which lists security flaws actively exploited in attacks. As mandated by the November 2021 Binding Operational Directive (BOD) 22-01, U.S. Federal Civilian Executive Branch (FCEB) agencies must patch their Chrome installation within three weeks, by May 7th, to secure their systems against potential breaches. While this directive only applies to federal agencies, all network defenders are advised to prioritize patching this vulnerability as soon as possible. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,"" the cybersecurity agency warned. This is the second actively exploited Chrome zero-day patched by Google this year, afteranother high-severity Chrome zero-daybug (CVE-2025-2783), which was abused to target Russian government organizations, media outlets, and educational institutions in cyber-espionage attacks. Kaspersky researchers who spotted the zero-day attacks said that the threat actors used CVE-2025-2783 exploits to bypass Google Chrome's sandbox protections and infect targets with malware. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Google tags a tenth Chrome zero-day as exploited this year Google fixes Android zero-days exploited in attacks, 60 other flaws CISA emergency directive: Mitigate Ivanti zero-days immediately Google fixes Chrome zero-day exploited in espionage campaign Google fixes high severity Chrome flaw with public exploit"
CVE-2025-2783,2025-05-15,bleeping computer,"Google has released emergency security updates to patch a high-severity vulnerability in the Chrome web browser that could lead to full account takeover following successful exploitation. While it's unclear if this security flaw has been used in attacks, the company warned that it has a public exploit, which is how it usually hints at active exploitation. ""Google is aware of reports that an exploit for CVE-2025-4664 exists in the wild,""Google saidin a Wednesday security advisory. The vulnerability was discovered by Solidlab security researcher Vsevolod Kokorin and isdescribedas an insufficient policy enforcement in Google Chrome's Loader component that lets remote attackers leak cross-origin data via maliciously crafted HTML pages. ""You probably know that unlike other browsers, Chrome resolves the Link header on subresource requests. But what's the problem? The issue is that the Link header can set a referrer-policy. We can specify unsafe-url and capture the full query parameters,""Kokorin explained. ""Query parameters can contain sensitive data - for example, in OAuth flows, this might lead to an Account Takeover. Developers rarely consider the possibility of stealing query parameters via an image from a 3rd-party resource."" ​Google fixed the flaw for users in the Stable Desktop channel, with patched versions (136.0.7103.113 for Windows/Linux and 136.0.7103.114 for macOS) rolling out to users worldwide. Although the company says the security updates will roll out over the coming days and weeks, they were immediately available when BleepingComputer checked for updates. Users who don't want to update Chrome manually can also let the browser automatically check for new updates and install them after the next launch. In March, ​Google alsofixed a high-severity Chrome zero-daybug (CVE-2025-2783) that was abused to deploy malware in espionage attacks targeting Russian government organizations, media outlets, and educational institutions. Kaspersky researchers who discovered the actively exploited zero-day said that the attackers use CVE-2025-2783 exploits to bypass Chrome sandbox protections and infect targets with malware. Last year,Google patched 10 zero-daysdisclosed during the Pwn2Own hacking competition or exploited in attacks. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Critical Erlang/OTP SSH pre-auth RCE is 'Surprisingly Easy' to exploit, patch now Google fixes Chrome zero-day exploited in espionage campaign CISA tags recently patched Chrome bug as actively exploited Google Chrome to block admin-level browser launches for better security Fortinet fixes critical zero-day exploited in FortiVoice attacks"
CVE-2025-4664,2025-05-15,bleeping computer,"Google has released emergency security updates to patch a high-severity vulnerability in the Chrome web browser that could lead to full account takeover following successful exploitation. While it's unclear if this security flaw has been used in attacks, the company warned that it has a public exploit, which is how it usually hints at active exploitation. ""Google is aware of reports that an exploit for CVE-2025-4664 exists in the wild,""Google saidin a Wednesday security advisory. The vulnerability was discovered by Solidlab security researcher Vsevolod Kokorin and isdescribedas an insufficient policy enforcement in Google Chrome's Loader component that lets remote attackers leak cross-origin data via maliciously crafted HTML pages. ""You probably know that unlike other browsers, Chrome resolves the Link header on subresource requests. But what's the problem? The issue is that the Link header can set a referrer-policy. We can specify unsafe-url and capture the full query parameters,""Kokorin explained. ""Query parameters can contain sensitive data - for example, in OAuth flows, this might lead to an Account Takeover. Developers rarely consider the possibility of stealing query parameters via an image from a 3rd-party resource."" ​Google fixed the flaw for users in the Stable Desktop channel, with patched versions (136.0.7103.113 for Windows/Linux and 136.0.7103.114 for macOS) rolling out to users worldwide. Although the company says the security updates will roll out over the coming days and weeks, they were immediately available when BleepingComputer checked for updates. Users who don't want to update Chrome manually can also let the browser automatically check for new updates and install them after the next launch. In March, ​Google alsofixed a high-severity Chrome zero-daybug (CVE-2025-2783) that was abused to deploy malware in espionage attacks targeting Russian government organizations, media outlets, and educational institutions. Kaspersky researchers who discovered the actively exploited zero-day said that the attackers use CVE-2025-2783 exploits to bypass Chrome sandbox protections and infect targets with malware. Last year,Google patched 10 zero-daysdisclosed during the Pwn2Own hacking competition or exploited in attacks. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Critical Erlang/OTP SSH pre-auth RCE is 'Surprisingly Easy' to exploit, patch now Google fixes Chrome zero-day exploited in espionage campaign CISA tags recently patched Chrome bug as actively exploited Google Chrome to block admin-level browser launches for better security Fortinet fixes critical zero-day exploited in FortiVoice attacks"
CVE-2025-29824,2025-05-14,bleeping computer,"Ransomware gangs have joined ongoing SAP NetWeaver attacks, exploiting a maximum-severity vulnerability that allows threat actors to gain remote code execution on vulnerable servers. SAPreleased emergency patcheson April 24 to address this NetWeaver Visual Composer unauthenticated file upload security flaw (CVE-2025-31324), days after it was first tagged by cybersecurity company ReliaQuest as targeted in the wild. Successful exploitation lets threat actors upload malicious files without requiring login credentials, potentially leading to complete system compromise. Today, in an update to their original advisory,ReliaQuestrevealedthatthe RansomEXX and BianLian ransomware operations have also joined these attacks, although no ransomware payloads were successfully deployed. ""Continued analysis has uncovered evidence suggesting involvement from the Russian ransomware group 'BianLian' and the operators of the 'RansomEXX' ransomware family (tracked by Microsoft as 'Storm-2460'),"" the cybersecurity firm said. ""These findings reveal widespread interest in exploiting this vulnerability across multiple threat groups."" ReliaQuest linked BianLian to at least one incident with ""moderate confidence"" based on an IP address used by the ransomware gang's operators in the past to host one of their command-and-control (C2) servers. In the RansomEXX attacks, the threat actors deployed the gang's PipeMagic modular backdoor and exploited the CVE-2025-29824 Windows CLFS vulnerabilityabused in previous incidentslinked to this ransomware operation. ""The malware was deployed just hours after global exploitation involving the helper.jsp and cache.jsp webshells. Although the initial attempt failed, a subsequent attack involved the deployment of the Brute Ratel C2 framework using inline MSBuild task execution,"" ReliaQuest added. Forescout Vedere Labs security researchers have alsolinked these ongoing attacksto a Chinese threat actor they track as Chaya_004, while EclecticIQreported on Tuesdaythat three other Chinese APTs (i.e., UNC5221, UNC5174, and CL-STA-0048) are also targeting NetWeaver instances unpatched against CVE-2025-31324. Based on exposed files found in an openly accessible directory on one of these attackers' unsecured servers, Forescout says they've backdoored at least 581 SAP NetWeaver instances (including critical infrastructure in the United Kingdom, the United States, and Saudi Arabia) and are planning to target another 1,800 domains. ""Persistence backdoor access to these systems provides a foothold for China-aligned APTs, potentially enabling strategic objectives of the People’s Republic of China (PRC), including military, intelligence, or economic advantage,"" Forescout said. ""The compromised SAP systems are also highly connected to internal network of the industrial control system (ICS) which is poses lateral movement risks, that potentially cause service disruption to long-term espionage."" On Monday, SAP has also patched a second NetWeaver vulnerability (CVE-2025-42999) chained in these attacks as a zero-day as early as March to execute arbitrary commands remotely. To block breach attempts, SAP admins should immediately patch their NetWeaver servers or consider disabling the Visual Composer service if an upgrade isn't possible. Restricting access to metadata uploader services and monitoring for suspicious activity on their servers are also highly advisable. CISAaddedthe CVE-2025-31324 flaw to itsKnown Exploited Vulnerabilities Catalogtwo weeks ago, mandating federal agencies to secure their servers by May 20, as required byBinding Operational Directive (BOD) 22-01. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP patches second zero-day flaw exploited in recent attacks Chinese hackers behind attacks targeting SAP NetWeaver servers Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Microsoft: Windows CLFS zero-day exploited by ransomware gang"
CVE-2025-31324,2025-05-14,bleeping computer,"Ransomware gangs have joined ongoing SAP NetWeaver attacks, exploiting a maximum-severity vulnerability that allows threat actors to gain remote code execution on vulnerable servers. SAPreleased emergency patcheson April 24 to address this NetWeaver Visual Composer unauthenticated file upload security flaw (CVE-2025-31324), days after it was first tagged by cybersecurity company ReliaQuest as targeted in the wild. Successful exploitation lets threat actors upload malicious files without requiring login credentials, potentially leading to complete system compromise. Today, in an update to their original advisory,ReliaQuestrevealedthatthe RansomEXX and BianLian ransomware operations have also joined these attacks, although no ransomware payloads were successfully deployed. ""Continued analysis has uncovered evidence suggesting involvement from the Russian ransomware group 'BianLian' and the operators of the 'RansomEXX' ransomware family (tracked by Microsoft as 'Storm-2460'),"" the cybersecurity firm said. ""These findings reveal widespread interest in exploiting this vulnerability across multiple threat groups."" ReliaQuest linked BianLian to at least one incident with ""moderate confidence"" based on an IP address used by the ransomware gang's operators in the past to host one of their command-and-control (C2) servers. In the RansomEXX attacks, the threat actors deployed the gang's PipeMagic modular backdoor and exploited the CVE-2025-29824 Windows CLFS vulnerabilityabused in previous incidentslinked to this ransomware operation. ""The malware was deployed just hours after global exploitation involving the helper.jsp and cache.jsp webshells. Although the initial attempt failed, a subsequent attack involved the deployment of the Brute Ratel C2 framework using inline MSBuild task execution,"" ReliaQuest added. Forescout Vedere Labs security researchers have alsolinked these ongoing attacksto a Chinese threat actor they track as Chaya_004, while EclecticIQreported on Tuesdaythat three other Chinese APTs (i.e., UNC5221, UNC5174, and CL-STA-0048) are also targeting NetWeaver instances unpatched against CVE-2025-31324. Based on exposed files found in an openly accessible directory on one of these attackers' unsecured servers, Forescout says they've backdoored at least 581 SAP NetWeaver instances (including critical infrastructure in the United Kingdom, the United States, and Saudi Arabia) and are planning to target another 1,800 domains. ""Persistence backdoor access to these systems provides a foothold for China-aligned APTs, potentially enabling strategic objectives of the People’s Republic of China (PRC), including military, intelligence, or economic advantage,"" Forescout said. ""The compromised SAP systems are also highly connected to internal network of the industrial control system (ICS) which is poses lateral movement risks, that potentially cause service disruption to long-term espionage."" On Monday, SAP has also patched a second NetWeaver vulnerability (CVE-2025-42999) chained in these attacks as a zero-day as early as March to execute arbitrary commands remotely. To block breach attempts, SAP admins should immediately patch their NetWeaver servers or consider disabling the Visual Composer service if an upgrade isn't possible. Restricting access to metadata uploader services and monitoring for suspicious activity on their servers are also highly advisable. CISAaddedthe CVE-2025-31324 flaw to itsKnown Exploited Vulnerabilities Catalogtwo weeks ago, mandating federal agencies to secure their servers by May 20, as required byBinding Operational Directive (BOD) 22-01. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP patches second zero-day flaw exploited in recent attacks Chinese hackers behind attacks targeting SAP NetWeaver servers Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Microsoft: Windows CLFS zero-day exploited by ransomware gang"
CVE-2025-42999,2025-05-14,bleeping computer,"Ransomware gangs have joined ongoing SAP NetWeaver attacks, exploiting a maximum-severity vulnerability that allows threat actors to gain remote code execution on vulnerable servers. SAPreleased emergency patcheson April 24 to address this NetWeaver Visual Composer unauthenticated file upload security flaw (CVE-2025-31324), days after it was first tagged by cybersecurity company ReliaQuest as targeted in the wild. Successful exploitation lets threat actors upload malicious files without requiring login credentials, potentially leading to complete system compromise. Today, in an update to their original advisory,ReliaQuestrevealedthatthe RansomEXX and BianLian ransomware operations have also joined these attacks, although no ransomware payloads were successfully deployed. ""Continued analysis has uncovered evidence suggesting involvement from the Russian ransomware group 'BianLian' and the operators of the 'RansomEXX' ransomware family (tracked by Microsoft as 'Storm-2460'),"" the cybersecurity firm said. ""These findings reveal widespread interest in exploiting this vulnerability across multiple threat groups."" ReliaQuest linked BianLian to at least one incident with ""moderate confidence"" based on an IP address used by the ransomware gang's operators in the past to host one of their command-and-control (C2) servers. In the RansomEXX attacks, the threat actors deployed the gang's PipeMagic modular backdoor and exploited the CVE-2025-29824 Windows CLFS vulnerabilityabused in previous incidentslinked to this ransomware operation. ""The malware was deployed just hours after global exploitation involving the helper.jsp and cache.jsp webshells. Although the initial attempt failed, a subsequent attack involved the deployment of the Brute Ratel C2 framework using inline MSBuild task execution,"" ReliaQuest added. Forescout Vedere Labs security researchers have alsolinked these ongoing attacksto a Chinese threat actor they track as Chaya_004, while EclecticIQreported on Tuesdaythat three other Chinese APTs (i.e., UNC5221, UNC5174, and CL-STA-0048) are also targeting NetWeaver instances unpatched against CVE-2025-31324. Based on exposed files found in an openly accessible directory on one of these attackers' unsecured servers, Forescout says they've backdoored at least 581 SAP NetWeaver instances (including critical infrastructure in the United Kingdom, the United States, and Saudi Arabia) and are planning to target another 1,800 domains. ""Persistence backdoor access to these systems provides a foothold for China-aligned APTs, potentially enabling strategic objectives of the People’s Republic of China (PRC), including military, intelligence, or economic advantage,"" Forescout said. ""The compromised SAP systems are also highly connected to internal network of the industrial control system (ICS) which is poses lateral movement risks, that potentially cause service disruption to long-term espionage."" On Monday, SAP has also patched a second NetWeaver vulnerability (CVE-2025-42999) chained in these attacks as a zero-day as early as March to execute arbitrary commands remotely. To block breach attempts, SAP admins should immediately patch their NetWeaver servers or consider disabling the Visual Composer service if an upgrade isn't possible. Restricting access to metadata uploader services and monitoring for suspicious activity on their servers are also highly advisable. CISAaddedthe CVE-2025-31324 flaw to itsKnown Exploited Vulnerabilities Catalogtwo weeks ago, mandating federal agencies to secure their servers by May 20, as required byBinding Operational Directive (BOD) 22-01. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP patches second zero-day flaw exploited in recent attacks Chinese hackers behind attacks targeting SAP NetWeaver servers Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Microsoft: Windows CLFS zero-day exploited by ransomware gang"
CVE-2022-2601,2025-05-14,bleeping computer,"Microsoft has fixed a known issue preventing Linux from booting on dual-boot systems with Secure Boot enabled after installing the August 2024 Windows security updates. The list of affected systems includes those running client (Windows 10 and Windows 11) and server (Windows Server 2012 and later) OS versions. This issue is triggered by a Secure Boot Advanced Targeting (SBAT) update that blocksUEFI shim bootloadersvulnerable to exploits targeting theCVE-2022-2601GRUB2 Secure Boot bypass. While Microsoft said in the CVE-2022-2601 advisory that this SBAT update would not be delivered to devices where dual booting is detected, it also acknowledged that the dual-boot detection failed to detect some customized methods of dual-booting and applied the update anyway. As revealed bymanyLinuxusers(running a wide range of distros, including but not limited to Ubuntu, Zorin OS, Linux Mint, and Puppy Linux),theirsystemsstoppedbootingafter installing the August 2024 Windows updates, and the SBAT update was incorrectly applied. Microsoftconfirmed the known issuefollowing widespread reports, saying that affected users saw ""Something has gone seriously wrong: SBAT self-check failed: Security Policy Violation"" errors on systems rendered unbootable. This week, nine months after confirming the issue, Microsoft announced that the May 2025 Patch Tuesday security updates should fix the boot problems for all affected users. ""This issue was resolved by Windows updates released May 13, 2025 [..], and later,""Redmond notedin a Windows release health update. ""We recommend you install the latest update for your device as it contains important improvements and issue resolutions, including this one."" The fix comes after the companyshared a temporary workaroundin late August, weeks after the first user reports surfaced, to help revive impacted dual-boot systems, requiring them to delete the SBAT update and ensuring that future SBAT updates would no longer be installed. On September 19, it alsostopped applying the problematic SBAT updateto the firmware automatically, advising those who want to prevent future SBAT updates in Windows to run the following command: ""This known issue only occurs with the installation of the August 2024 security and preview updates. The September 2024 security update and later updates do not contain the settings that caused this issue,"" Microsoft added. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Microsoft confirms May Windows 10 updates trigger BitLocker recovery Windows 11 and Red Hat Linux hacked on first day of Pwn2Own New Tor Oniux tool anonymizes any Linux app's network traffic Windows 10 KB5058379 update fixes SgrmBroker errors in Event Viewer Microsoft May 2025 Patch Tuesday fixes 5 exploited zero-days, 72 flaws"
CVE-2025-31324,2025-05-13,bleeping computer,"SAP has released patches to address a second vulnerability exploited in recent attacks targeting SAP NetWeaver servers as a zero-day. The company issued security updates for this security flaw (CVE-2025-42999) on Monday, May 12, saying it was discovered while investigating zero-day attacks involving another unauthenticated file upload flaw (tracked asCVE-2025-31324) in SAP NetWeaver Visual Composer that was fixed in April. ""SAP is aware of and has been addressing vulnerabilities in SAP NETWEAVER Visual Composer,"" a SAP spokesperson told BleepingComputer. ""We ask all customers using SAP NETWEAVER to install these patches to protect themselves. The Security Notes can be found here:3594142&3604119."" ReliaQuestfirst detectedthe attacks exploiting CVE-2025-31324 as a zero-day in April, reporting that threat actors were uploading JSP web shells to public directories and the Brute Ratel red team tool after breaching customers' systems through unauthorized file uploads on SAP NetWeaver. The hacked instances were fully patched, indicating the attackers used a zero-day exploit. This malicious activity was also confirmed by cybersecurity firms watchTowr andOnapsis, who also observed the attackers uploading web shell backdoors on unpatched instances exposed online. Forescout's Vedere Labs has linkedsome of these attacksto a Chinese threat actor it tracks as Chaya_004. Onyphe CTO Patrice Auffret told BleepingComputer in late April that ""Something like 20 Fortune 500/Global 500 companies are vulnerable, and many of them are compromised,"" adding that there were 1,284 vulnerable instances exposed online at the time, 474 already compromised. The Shadowserver Foundation is nowtracking over 204 SAP Netweaver serversexposed on the Internet and vulnerable to attacks. While SAP did not confirm that CVE-2025-42999 was exploited in the wild, Onapsis CTO Juan Pablo Perez-Etchegoyen told BleepingComputer that the threat actors were chaining both vulnerabilities in attacks since January. ""The attacks we observed during March 2025 (that started with basic proves back in January 2025) are actually abusing both, the lack of authentication (CVE-2025-31324) as well as the insecure de-serialization (CVE-2025-42999),"" Perez-Etchegoyen told BleepingComputer. ""This combination allowed attackers to execute arbitrary commands remotely and without any type of privileges on the system. This residual risk is basically a de-serialization vulnerability only exploitable by users with VisualComposerUser role on the SAP target system."" SAP admins are advised to immediately patch their NetWeaver instances and consider disabling the Visual Composer service if possible, as well as restrict access to metadata uploader services and monitor for suspicious activity on their servers. Since the attacks started, CISA hasaddedthe CVE-2025-31324 flaw to itsKnown Exploited Vulnerabilities Catalog, ordering federal agencies to secure their systems by May 20, as mandated byBinding Operational Directive (BOD) 22-01. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,"" CISA warned. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks Ransomware gangs join ongoing SAP NetWeaver attacks Fortinet fixes critical zero-day exploited in FortiVoice attacks Chinese hackers behind attacks targeting SAP NetWeaver servers Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw"
CVE-2025-42999,2025-05-13,bleeping computer,"SAP has released patches to address a second vulnerability exploited in recent attacks targeting SAP NetWeaver servers as a zero-day. The company issued security updates for this security flaw (CVE-2025-42999) on Monday, May 12, saying it was discovered while investigating zero-day attacks involving another unauthenticated file upload flaw (tracked asCVE-2025-31324) in SAP NetWeaver Visual Composer that was fixed in April. ""SAP is aware of and has been addressing vulnerabilities in SAP NETWEAVER Visual Composer,"" a SAP spokesperson told BleepingComputer. ""We ask all customers using SAP NETWEAVER to install these patches to protect themselves. The Security Notes can be found here:3594142&3604119."" ReliaQuestfirst detectedthe attacks exploiting CVE-2025-31324 as a zero-day in April, reporting that threat actors were uploading JSP web shells to public directories and the Brute Ratel red team tool after breaching customers' systems through unauthorized file uploads on SAP NetWeaver. The hacked instances were fully patched, indicating the attackers used a zero-day exploit. This malicious activity was also confirmed by cybersecurity firms watchTowr andOnapsis, who also observed the attackers uploading web shell backdoors on unpatched instances exposed online. Forescout's Vedere Labs has linkedsome of these attacksto a Chinese threat actor it tracks as Chaya_004. Onyphe CTO Patrice Auffret told BleepingComputer in late April that ""Something like 20 Fortune 500/Global 500 companies are vulnerable, and many of them are compromised,"" adding that there were 1,284 vulnerable instances exposed online at the time, 474 already compromised. The Shadowserver Foundation is nowtracking over 204 SAP Netweaver serversexposed on the Internet and vulnerable to attacks. While SAP did not confirm that CVE-2025-42999 was exploited in the wild, Onapsis CTO Juan Pablo Perez-Etchegoyen told BleepingComputer that the threat actors were chaining both vulnerabilities in attacks since January. ""The attacks we observed during March 2025 (that started with basic proves back in January 2025) are actually abusing both, the lack of authentication (CVE-2025-31324) as well as the insecure de-serialization (CVE-2025-42999),"" Perez-Etchegoyen told BleepingComputer. ""This combination allowed attackers to execute arbitrary commands remotely and without any type of privileges on the system. This residual risk is basically a de-serialization vulnerability only exploitable by users with VisualComposerUser role on the SAP target system."" SAP admins are advised to immediately patch their NetWeaver instances and consider disabling the Visual Composer service if possible, as well as restrict access to metadata uploader services and monitor for suspicious activity on their servers. Since the attacks started, CISA hasaddedthe CVE-2025-31324 flaw to itsKnown Exploited Vulnerabilities Catalog, ordering federal agencies to secure their systems by May 20, as mandated byBinding Operational Directive (BOD) 22-01. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,"" CISA warned. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks Ransomware gangs join ongoing SAP NetWeaver attacks Fortinet fixes critical zero-day exploited in FortiVoice attacks Chinese hackers behind attacks targeting SAP NetWeaver servers Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw"
