cves,cve_counts,date,title,link,text
CVE-2021-27065; CVE-2021-26857; CVE-2019-11510; CVE-2021-26855; CVE-2021-26858,"{""CVE-2021-27065"": 1, ""CVE-2021-26857"": 1, ""CVE-2019-11510"": 1, ""CVE-2021-26855"": 1, ""CVE-2021-26858"": 1}",2025-05-02,US indicts Black Kingdom ransomware admin for Microsoft Exchange attacks,https://www.bleepingcomputer.com/news/security/us-indicts-black-kingdom-ransomware-admin-for-microsoft-exchange-attacks/,"A 36-year-old Yemeni national, who is believed to be the developer and primary operator of 'Black Kingdom' ransomware, has been indicted by the United States for conducting 1,500 attacks on Microsoft Exchange servers. The suspect, Rami Khaled Ahmed, is accused of deploying the Black Kingdom malware on roughly 1,500 computers in the United States and abroad, demanding ransom payments of $10,000 in Bitcoin. ""According to the indictment, from March 2021 to June 2023, Ahmed and others infected computer networks of several U.S.-based victims, including a medical billing services company in Encino, a ski resort in Oregon, a school district in Pennsylvania, and a health clinic in Wisconsin,""explains a U.S. Department of Justice announcement. ""When the malware was successful, the ransomware then created a ransom note on the victim's system that directed the victim to send $10,000 worth of Bitcoin to a cryptocurrency address controlled by a co-conspirator and to send proof of this payment to a Black Kingdom email address,"" reads another part of the announcement. The U.S. DoJ highlights that Ahmed designed Black Kingdom ransomware to exploit a vulnerability in Microsoft Exchange for initial access to targeted computers. This was first reported in March 2021 by researcherMarcus Hutchins, who discovered web shells deployed by Black Kingdom ransomware operators on Exchange servers vulnerable to ProxyLogon attacks. TheProxyLogonflaw refers to a set of critical vulnerabilities in Microsoft Exchange Server that were first disclosed and exploited in early 2021. The flaws are CVE-2021-26855 (Server-Side Request Forgery used for initial access), CVE-2021-26857 (insecure deserialization used for privilege escalation to SYSTEM), and CVE-2021-26858 and CVE-2021-27065 (arbitrary file write used for writing web shells to servers). Soon, Microsoft confirmed that Black Kingdom hadcompromised 1,500 Exchange serversby leveraging ProxyLogon flaws. In June 2020, it was revealed that Black Kingdomtargeted CVE-2019-11510, a critical vulnerability affecting Pulse Secure VPN, to breach corporate networks and deploy their file lockers. For his Black Kingdom attacks, Ahmed now faces charges of conspiracy, intentional damage to a protected computer, and threatening damage to a protected computer. If convicted, Ahmed faces a statutory maximum sentence of five years in federal prison for each count, totaling up to 15 years. The U.S. DoJ states that Ahmed is believed to be residing in Yemen. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Microsoft: Exchange 2016 and 2019 reach end of support in six months Microsoft: Outdated Exchange servers fail to auto-mitigate security bugs Texas State Bar warns of data breach after INC ransomware claims attack UK fines software provider £3.07 million for 2022 ransomware breach Suspected LockBit ransomware dev extradited to United States"
CVE-2023-44221; CVE-2024-38475; CVE-2021-20035,"{""CVE-2023-44221"": 3, ""CVE-2024-38475"": 3, ""CVE-2021-20035"": 2}",2025-04-30,SonicWall warns of more VPN flaws exploited in attacks,https://www.bleepingcomputer.com/news/security/sonicwall-sma100-vpn-vulnerabilities-now-exploited-in-attacks/,"Cybersecurity company SonicWall has warned customers that two older vulnerabilities impacting its Secure Mobile Access (SMA) appliances are now being actively exploited in attacks. On Tuesday, SonicWall updated security advisories for theCVE-2023-44221andCVE-2024-38475security flaws to tag the two vulnerabilities as ""potentially being exploited in the wild."" CVE-2023-44221 is described as a high-severity command injection vulnerability caused by improper neutralization of special elements in the SMA100 SSL-VPN management interface that enables attackers with admin privileges to inject arbitrary commands as a 'nobody' user. The second security bug, CVE-2024-38475, is rated as a critical severity flaw caused by improper escaping of output in mod_rewrite in Apache HTTP Server 2.4.59 and earlier. Successful exploitation can allow unauthenticated, remote attackers to gain code execution by mapping URLs to file system locations permitted to be served by the server. The two vulnerabilities impact SMA 200, SMA 210, SMA 400, SMA 410, and SMA 500v devices and are patched in firmware version 10.2.1.14-75sv and later. ""During further analysis, SonicWall and trusted security partners identified an additional exploitation technique using CVE-2024-38475, through which unauthorized access to certain files could enable session hijacking,""SonicWall warnedin an updated advisory. ""During further analysis, SonicWall and trusted security partners identified that 'CVE-2023-44221 - Post Authentication OS Command Injection' vulnerability is potentially being exploited in the wild,""it added. ""SonicWall PSIRT recommends that customers review their SMA devices to ensure no unauthorized logins."" Earlier this month, the companyflagged another high-severity flawpatched almost four years ago and tracked asCVE-2021-20035as actively exploited in remote code execution attacks targeting SMA100 VPN appliances. One day later, cybersecurity company Arctic Wolf said CVE-2021-20035 had been under active exploitationsince at least January 2025. CISA alsoadded the security bugto itsKnown Exploited Vulnerabilities catalog, ordering U.S. federal agencies to secure their networks against ongoing attacks. In January, SonicWall urged admins to patch acritical flaw in SMA1000 secure access gatewaysthat was being exploited in zero-day attacks, and one month later warned of anactively exploited authentication bypass flawin Gen 6 and Gen 7 firewalls that lets hackershijack VPN sessions. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SonicWall SMA VPN devices targeted in attacks since January CISA tags SonicWall VPN flaw as actively exploited in attacks Protect your devices and data with this $40 five-year AdGuard VPN plan CISA tags Broadcom Fabric OS, CommVault flaws as exploited in attacks Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw"
CVE-2025-3928,"{""CVE-2025-3928"": 2}",2025-04-30,Commvault says recent breach didn't impact customer backup data,https://www.bleepingcomputer.com/news/security/commvault-says-recent-breach-didnt-impact-customer-backup-data/,"Commvault, a leading provider of data protection solutions, says a nation-state threat actor who breached its Azure environment didn't gain access to customer backup data. Listed on NASDAQ since March 2006, Commvault is included in the S&P MidCap 400 Index and provides cyber resilience services to over 100,000 organizations. As the companyfirst revealed on March 7, 2025, Commvault discovered the incident after being notified by Microsoft on February 20 of suspicious activity within its Azure environment. A follow-up investigation into the breach found that the incident only affected a small number of Commvault customers and had not impacted the company's operations. ""Importantly, there has been no unauthorized access to customer backup data that Commvault stores and protects, and no material impact on our business operations or our ability to deliver products and services,"" Danielle Sheer, the company's Chief Trust Officer,said in a Wednesday update. ""We are working closely with two leading cybersecurity firms and are coordinating with the appropriate authorities, including the FBI, Cybersecurity and Infrastructure Security Agency (CISA), and others."" In asupport documentcontaining indicators of compromise, Commvault advises customers to apply a Conditional Access policy to all Microsoft 365, Dynamics 365, and Azure AD single-tenant App registrations to protect their data against similar attack attempts. It also recommended to regularly monitor sign-in activity to detect access attempts originating from IP addresses outside of allowed ranges and to rotate and sync client secrets between Commvault and the Azure portal every 90 days. ""This can help quickly identify potential security breaches or account compromises. If any unauthorized access is detected, immediately report the incident to Commvault Support for further investigation and remediation,"" the company says. The company also noted in the original disclosure that the threat actors exploited a now-patched zero-day vulnerability (CVE-2025-3928) in its Commvault Web Server software that remote authenticated attackers with low privileges can exploit remotely to plant webshells on target servers. CISA has alsoadded the CVE-2025-3928 vulnerabilityto its Known Exploited Vulnerabilities Catalog on Monday, requiring federal agencies to secure their Commvault software by May 19, 2025, as mandated by the Binding Operational Directive (BOD) 22-01 issued in November 2021. ""These types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise,""CISA warned. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Enhance your resume with this Microsoft Azure certification course deal EncryptHub's dual life: Cybercriminal vs Windows bug-bounty researcher MITRE says state hackers breached its network via Ivanti zero-days New Windows zero-day exploited by 11 state hacking groups since 2017 Microsoft March 2025 Patch Tuesday fixes 7 zero-days, 57 flaws"
CVE-2025-24252; CVE-2025-24132; CVE-2025-24206,"{""CVE-2025-24252"": 1, ""CVE-2025-24132"": 1, ""CVE-2025-24206"": 1}",2025-04-29,Apple 'AirBorne' flaws can lead to zero-click AirPlay RCE attacks,https://www.bleepingcomputer.com/news/security/apple-airborne-flaws-can-lead-to-zero-click-airplay-rce-attacks/,"​A set of security vulnerabilities in Apple's AirPlay Protocol and AirPlay Software Development Kit (SDK) exposed unpatched third-party and Apple devices to various attacks, including remote code execution. According to cybersecurity company Oligo Security security researchers who discovered and reported the flaws, they can be exploited in zero-click and one-click RCE attacks, man-in-the-middle (MITM) attacks, and denial of service (DoS) attacks, as well as to bypass access control list (ACL) and user interaction, to gain access to sensitive information, and read arbitrary local files. In all, Oligo disclosed 23 security vulnerabilities to Apple, which released security updates to address these vulnerabilities (collectively known as ""AirBorne"") on March 31 for iPhones and iPads (iOS 18.4 and iPadOS 18.4), Macs (macOS Ventura 13.7.5,macOS Sonoma 14.7.5, andmacOS Sequoia 15.4), and Apple Vision Pro (visionOS 2.4) devices. The company also patched theAirPlay audio SDK, theAirPlay video SDK, and theCarPlay Communication Plug-in. While the AirBorne vulnerabilities can only be exploited by attackers on the same network via wireless networks or peer-to-peer connections, they allow taking over vulnerable devices and using the access as a launchpad to compromise other AirPlay-enabled devices on the same network. Oligo's security researchers said they were able to demonstrate that attackers can use two of the security flaws (CVE-2025-24252 and CVE-2025-24132) to create wormable zero-click RCE exploits. Additionally, the CVE-2025-24206 user interaction bypass flaw enables a threat actor to bypass ""Accept"" click requirements on AirPlay requests and can be chained with other flaws to launch zero-click attacks. ""This means that an attacker can take over certain AirPlay-enabled devices and do things like deploy malware that spreads to devices on any local network the infected device connects to. This could lead to the delivery of other sophisticated attacks related to espionage, ransomware, supply-chain attacks, and more,""Oligo warned. ""Because AirPlay is a fundamental piece of software for Apple devices (Mac, iPhone, iPad, AppleTV, etc.) as well as third-party devices that leverage the AirPlay SDK, this class of vulnerabilities could have far-reaching impacts."" The cybersecurity company advises organizations to immediately update any corporate Apple devices and AirPlay-enabled devices to the latest software release and ask employees to also update all their personal AirPlay devices. Additional measures users can take to reduce the attack surface include updating all their Apple devices to the latest version, disabling the AirPlay receiver if not used, restricting AirPlay access to trusted devices using firewall rules, and reducing the attack surface by only allowing AirPlay for the current user. Apple says that there areover 2.35 billion active Apple devicesaround the world (including iPhones, iPads, Macs, and others), and Oligo estimates that there are also tens of millions of third-party audio devices like speakers and TVs with AirPlay support, not including car infotainment systems with CarPlay support. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw SAP fixes suspected NetWeaver zero-day exploited in attacks Apple backports zero-day patches to older iPhones and Macs Apple fixes WebKit zero-day exploited in ‘extremely sophisticated’ attacks Active! Mail RCE flaw exploited in attacks on Japanese orgs"
CVE-2025-42599; CVE-2025-3928; CVE-2025-1976,"{""CVE-2025-42599"": 1, ""CVE-2025-3928"": 3, ""CVE-2025-1976"": 2}",2025-04-29,"CISA tags Broadcom Fabric OS, CommVault flaws as exploited in attacks",https://www.bleepingcomputer.com/news/security/cisa-tags-broadcom-fabric-os-commvault-flaws-as-exploited-in-attacks/,"The U.S. Cybersecurity & Infrastructure Security Agency (CISA) is warning of Broadcom Brocade Fabric OS, Commvault web servers, and Qualitia Active! Mail clients vulnerabilities that are actively exploited in attacks. The flaws were added yesterday to CISA's 'Known Exploited Vulnerabilities'(KEV) catalog, with the Broadcom Brocade Fabric OS and Commvault flaws not previously tagged as exploited. Broadcom Brocade Fabric OS is a specialized operating system that runs on the company's Brocade Fibre Channel switches to manage and optimize storage area networks (SAN). Earlier this month, Broadcom disclosed an arbitrary code execution flaw impacting Fabric OS versions 9.1.0 through 9.1.1d6, tracked under CVE-2025-1976. While the flaw requires admin privileges to exploit, Broadcom says it has been actively exploited in attacks. ""This vulnerability can allow the user to execute any existing Fabric OS command or can also be used to modify the Fabric OS itself, including adding their own subroutines,""reads Broadcom's bulletin. ""Even though achieving this exploit first requires valid access to a role with admin privileges, this vulnerability has been actively exploited in the field."" CVE-2025-1976 was addressed with the release of Brocade Fabric OS 9.1.1d7. The latest branch, 9.2.0, is not impacted by this vulnerability. The Commvault flaw, tracked underCVE-2025-3928, is an unspecified security problem that authenticated attackers can exploit remotely to plant webshells on target servers. Commvault web servers are user-facing and API components of a backup system used by enterprises to protect and restore critical data. Despite the requirements for authentication and exposure of the environment to the internet, the flaw is under active exploitation in the wild. CVE-2025-3928 was fixed in versions 11.36.46, 11.32.89, 11.28.141, and 11.20.217 for Windows and Linux platforms. The third flaw CISA added to KEV is CVE-2025-42599, a stack-based buffer overflow problem impacting all versions of Active! up to and including 'BuildInfo: 6.60.05008561' on all OS platforms. Active! mail is a web-based email client widely used by government, financial, and IT service organizations in Japan. The flaw wasflagged as actively exploitedlast week by Japan's CERT, while SMB providers and ISPs in the country also announced service outages caused by related exploitation activity. Qualitia addressed the problem with the release of Active! Mail 6 BuildInfo: 6.60.06008562. CISA has given impacted organizations until May 17, 2025, to apply fixes or available mitigations for CVE-2025-3928 and May 19, 2025, for the other two flaws. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. CISA flags Craft CMS code injection flaw as exploited in attacks CentreStack RCE exploited as zero-day to breach file sharing servers CISA tags NAKIVO backup flaw as actively exploited in attacks SAP fixes suspected NetWeaver zero-day exploited in attacks Lazarus hackers breach six companies in watering hole attacks"
CVE-2025-31324,"{""CVE-2025-31324"": 3}",2025-04-28,"Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw",https://www.bleepingcomputer.com/news/security/over-1-200-sap-netweaver-servers-vulnerable-to-actively-exploited-flaw/,"Over 1,200 internet-exposed SAP NetWeaver instances are vulnerable to an actively exploited maximum severity unauthenticated file upload vulnerability that allows attackers to hijack servers. SAP NetWeaver is an application server and development platform that runs and connects SAP and non-SAP applications across different technologies. Last week, SAP disclosed an unauthenticated file upload vulnerability, tracked as CVE-2025-31324, in SAP NetWeaver Visual Composer, specifically the Metadata Uploader component. The flaw allows remote attackers to upload arbitrary executable files on exposed instances without authenticating, achieving code execution and full system compromise. Multiple cybersecurity firms, including ReliaQuest, watchTowr, and Onapsis, confirmed the flaw isactively exploited in attacks, with threat actors utilizing it to drop web shells on vulnerable servers. A SAP spokesperson told BleepingComputer that they were aware of these attempts and released a workaround on April 8, 2024, followed by a security update that addressed CVE-2025-31324 on April 25. SAP told BleepingComputer that they are not aware of any cases where these attacks impacted customer data or systems. Researchers have now confirmed that many vulnerable SAP Netweaver servers are exposed on the internet, making them prime targets for attacks. TheShadowserver Foundationfound the427 exposed servers, warning of the massive exposed attack surface and the potentially severe repercussions of exploitation. Most of the vulnerable systems (149) are in the United States, followed by India (50), Australia (37), China (31), Germany (30), the Netherlands (13), Brazil (10), and France (10). However, cyber defense search engineOnyphepaints a more dire picture, telling BleepingComputer that there are 1,284 vulnerable servers exposed online, with 474 already having been compromised with webshells. ""Something like 20 Fortune 500/Global 500 companies are vulnerable, and many of them are compromised,"" Onyphe CTO Patrice Auffret told BleepingComputer. Researchers reported that the threat actors are utilizing webshells with names like, ""cache.jsp"" and ""helper.jsp."" Howver,Nextron Research saysthey are also using random names, making it more difficult to find vulnerable Netweaver instances. While the number of servers is not massive, the risk is still significant, given that large enterprises and multinational corporations commonly use SAP NetWeaver. To address the risk, it is recommended that the latest security update be applied by following the vendor's instructions inthis bulletin. If unable to apply the update, the below mitigations are recommended: RedRays has also released ascanner tool for CVE-2025-31324that can help pinpoint risks in large environments. BleepingComputer contacted SAP with further questions about the active exploitation and will update the story with any response. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks Apple 'AirBorne' flaws can lead to zero-click AirPlay RCE attacks Active! Mail RCE flaw exploited in attacks on Japanese orgs SonicWall SMA VPN devices targeted in attacks since January CISA tags SonicWall VPN flaw as actively exploited in attacks"
CVE-2025-32432; CVE-2025-23209; CVE-2024-58136,"{""CVE-2025-32432"": 3, ""CVE-2025-23209"": 1, ""CVE-2024-58136"": 2}",2025-04-25,Craft CMS RCE exploit chain used in zero-day attacks to steal data,https://www.bleepingcomputer.com/news/security/craft-cms-rce-exploit-chain-used-in-zero-day-attacks-to-steal-data/,"Two vulnerabilities impacting Craft CMS were chained together in zero-day attacks to breach servers and steal data, with exploitation ongoing, according to CERT Orange Cyberdefense. The vulnerabilities were discovered by Orange Cyberdefense's CSIRT, which was called in to investigate a compromised server. As part of the investigation, they discovered that two zero-day vulnerabilities impacting Craft CMS were exploited to breach the server: According to a report by SensePost, the ethical hacking team of Orange Cyberdefense, the threat actors chained both of these vulnerabilities together to breach servers and upload a PHP file manager. The attack begins with the exploitation of CVE-2025-32432, which allows attackers to send a specially crafted request containing a ""return URL"" as a parameter that is saved in a PHP session file. This session name is sent to the visitor as part of the response to the HTTP request. The second stage of the attack leveraged a flaw in the Yii framework (CVE-2024-58136), which Craft CMS utilizes. To exploit this flaw, the attacker sent a malicious JSON payload that caused the PHP code in the session file to be executed on the server. This allowed the attacker to install a PHP-based file manager on the server to compromise the system further. Orange told BleepingComputer that they saw additional compromise steps, including additional uploads of backdoors and data exfiltration. More information about this post-exploitation activity will be detailed in an upcoming blog post. The Yii developers ultimatelyfixed the CVE-2024-58136 flawin version Yii 2.0.52 released on April 9th. Craft CMS alsofixed the CVE-2025-32432 flawin versions 3.9.15, 4.14.15, and 5.6.17 on April 10th. While they did not update Yii to the latest version in Craft CMS, Orange says that the attack chain is still fixed. ""Today, the 2.0.51 (vulnerable) is still by default in Craft. However, with the CVE-2025-32432 fix, the Yii issue cannot be triggerable now,"" Orange told BleepingComputer. Craft CMS recommends that admins perform the following steps if they believe their site has been compromised: For full indicators of compromise, including IP addresses and file names, you canview the appendixin SensePost's report. In February,CISA also taggeda code injection (RCE) flaw tracked as CVE-2025-23209 in Craft CMS 4 and 5 as being exploited in attacks. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. SAP fixes suspected NetWeaver zero-day exploited in attacks CISA flags Craft CMS code injection flaw as exploited in attacks Lazarus hackers breach six companies in watering hole attacks Apple fixes two zero-days exploited in targeted iPhone attacks Ivanti Connect Secure zero-days exploited to deploy custom malware"
CVE-2025-21204,"{""CVE-2025-21204"": 1}",2025-04-25,"Windows ""inetpub"" security fix can be abused to block future updates",https://www.bleepingcomputer.com/news/microsoft/windows-inetpub-security-fix-can-be-abused-to-block-future-updates/,"A recent Windows security update that creates an ‘inetpub’ folder has introduced a new weakness allowing attackers to prevent the installation of future updates. After people installed this month'sMicrosoft Patch Tuesdaysecurity updates, Windows userssuddenly found an ""inetpub"" folderowned by the SYSTEM account created in the root of the system drive, normally the C: drive. It was strange to see this folder created as it is normally used to hold files associated with Microsoft's Internet Information Service web server, which was not installed on these devices. In an update to asecurity advisory, Microsoft later confirmed that the C:\inetpub folder was part of a fix for a Windows Process Activation elevation of privilege vulnerability tracked as CVE-2025-21204, with the companywarning not to delete the folder. ""After installing the updates listed in the Security Updates table for your operating system, a new %systemdrive%\inetpub folder will be created on your device,""confirmed Microsoft. ""This folder should not be deleted regardless of whether Internet Information Services (IIS) is active on the target device. This behavior is part of changes that increase protection and does not require any action from IT admins and end users."" However, cybersecurity expert Kevin Beaumont has demonstrated that this folder can be abused to prevent further Windows updates from being installed if it is created a certain way. ""I've discovered this fix introduces a denial of service vulnerability in the Windows servicing stack that allows non-admin users to stop all future Windows security updates,"" Kevin Beaumont. In a new report,Beaumont saysthat Windows users, even those without administrative privileges, can create a junction between C:\inetpub and a Windows file, like C:\windows\system32\notepad.exe using the following command. A Windows junction is a special type of folder that redirects access to another folder on the same or another drive, making it appear as though the content exists in both locations. When asked why this junction is preventing the update from being installed, Beaumont says he believes it's because the update expects a folder rather than a file. ""It works with basically any file, I think it's because the servicing stack expects c:\inetpub to be a directory - but mklink allows you to make a junction to a file,"" Beaumont told BleepingComputer. According toMicrosoft's documentation, junctions are meant to be links between folders rather than between files. However, as you can see from the image earlier in the article, it is still possible to create one as shown in the image below. With this junction created, if you attempt to install the April security update, it will not install correctly, giving a0x800F081F error code. This code is related to the error ""CBS_E_SOURCE_MISSING,"" which means a package or file was not found. Beaumont says he reported the bug to Microsoft, who has assigned it a ""Medium"" severity classification and closed his case, stating they will consider fixing it in the future. ""After careful investigation, this case is currently rated as a Moderate severity issue,""Microsoft emailed Beaumont. ""It does not meet MSRCs current bar for immediate servicing as the update fails to apply only if the 'inetpub' folder is a junction to a file and succeeds upon deleting the inetpub symlink and retrying."" BleepingComputer also contacted Microsoft about this bug on Wednesday but has not received a response yet. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Microsoft: Windows 'inetpub' folder created by security fix, don’t delete Microsoft April 2025 Patch Tuesday fixes exploited zero-day, 134 flaws Microsoft adds hotpatching support to Windows 11 Enterprise Microsoft March 2025 Patch Tuesday fixes 7 zero-days, 57 flaws Microsoft: Windows Server hotpatching to require subscription"
CVE-2025-31330; CVE-2025-27429; CVE-2025-31324,"{""CVE-2025-31330"": 1, ""CVE-2025-27429"": 1, ""CVE-2025-31324"": 6}",2025-04-25,SAP fixes suspected NetWeaver zero-day exploited in attacks,https://www.bleepingcomputer.com/news/security/sap-fixes-suspected-netweaver-zero-day-exploited-in-attacks/,"SAP has released out-of-band emergency NetWeaver updates to fix a suspected remote code execution (RCE) zero-day flaw actively exploited to hijack servers. The vulnerability, tracked underCVE-2025-31324and rated critical (CVSS v3 score: 10.0), is an unauthenticated file upload vulnerability in SAP NetWeaver Visual Composer, specifically the Metadata Uploader component. It allows attackers to upload malicious executable files without logging in, potentially leading to remote code execution and full system compromise. Though thevendor's bulletinisn't public, ReliaQuest reported earlier this week about an actively exploited vulnerability on SAP NetWeaver Visual Composer, specifically the '/developmentserver/metadatauploader' endpoint, which aligns with CVE-2025-31324. ReliaQuestreportedthat multiple customers were compromised via unauthorized file uploads on SAP NetWeaver, with the attackers uploading JSP webshells to publicly accessible directories. These uploads enabled remote code execution via simple GET requests to the JSP files, allowing command execution from the browser, file management actions (upload/download), and more. In the post-exploitation phase, the attackers deployed the 'Brute Ratel' red team tool, the 'Heaven's Gate' security bypassing technique, and injected MSBuild-compiled code into dllhost.exe for stealth. ReliaQuest noted in the report that exploitation did not require authentication and that the compromised systems were fully patched, indicating that they were targeted by a zero-day exploit. Security firm watchTowr also confirmed to BleepingComputer they are seeing active exploitation linked to CVE-2025-31324. ""Unauthenticated attackers can abuse built-in functionality to upload arbitrary files to an SAP NetWeaver instance, which means full Remote Code Execution and total system compromise,"" stated watchTowr CEO Benjamin Harris. ""watchTowr is seeing active exploitation by threat actors, who are using this vulnerability to drop web shell backdoors onto exposed systems and gain further access."" ""This active in-the-wild exploitation and widespread impact makes it incredibly likely that we'll soon see prolific exploitation by multiple parties."" The vulnerability impacts the Visual Composer Framework 7.50, and the recommended action is to apply the latest patch. This emergency security update was made available after SAP's regular'April 2025' update, so if you applied that update earlier this month (released on April 8, 2025), you're still vulnerable to CVE-2025-31324. Moreover, the emergency update includes fixes for two more critical vulnerabilities, namely CVE-2025-27429 (code injection in SAP S/4HANA) and CVE-2025-31330 (code injection in SAP Landscape Transformation). Those unable to apply the updates that address CVE-2025-31324 are recommended to perform the following mitigations: ReliaQuest recommends performing a deep environment scan to locate and delete suspect files before applying the mitigations. Update 4/25- A SAP spokesperson disputed via a statement to BleepingComputer that CVE-2025-31324 was successfully exploited in actual attacks. ""SAP was made aware of a vulnerability in SAP NETWEAVER Visual Composer, which may have allowed unauthenticated and unauthorized code execution in certain Java Servlet,"" stated the SAP spokesperson. ""SAP is not aware that SAP customer data or systems were impacted by these vulnerabilities. A workaround was released on April 8, 2025, and a patch is currently available. Customers are recommended to apply the patch immediately."" Meanwhile, cybersecurity firm Onapsis published a report saying it alsoobserved active exploitation. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. Over 1,200 SAP NetWeaver servers vulnerable to actively exploited flaw Active! Mail RCE flaw exploited in attacks on Japanese orgs Ivanti patches Connect Secure zero-day exploited since mid-March Critical RCE flaw in Apache Tomcat actively exploited in attacks Critical PHP RCE vulnerability mass exploited in new attacks"
CVE-2024-54085,"{""CVE-2024-54085"": 3}",2025-04-23,ASUS releases fix for AMI bug that lets hackers brick servers,https://www.bleepingcomputer.com/news/security/asus-releases-fix-for-ami-bug-that-lets-hackers-brick-servers/,"ASUS has released security updates to address CVE-2024-54085, a maximum severity flaw that could allow attackers to hijack and potentially brick servers. The flaw impacts American Megatrends International's MegaRAC Baseboard Management Controller (BMC) software, used by over a dozen server hardware vendors, including HPE, ASUS, and ASRock. TheCVE-2024-54085flaw is remotely exploitable, potentially leading to malware infections, firmware modifications, and irreversible physical damage through over-volting. ""A local or remote attacker can exploit the vulnerability by accessing the remote management interfaces (Redfish) or the internal host to the BMC interface (Redfish),""explained Eclypsium in a related report. ""Exploitation of this vulnerability allows an attacker to remotely control the compromised server, remotely deploy malware, ransomware, firmware tampering, bricking motherboard components (BMC or potentially BIOS/UEFI), potential server physical damage (over-voltage / bricking), and indefinite reboot loops that a victim cannot stop."" Though AMIreleased a bulletinalong with patches on March 11, 2025, time was needed for impacted OEMs to implement the fixes on their products. Today, ASUS announced they have released fixes for CVE-2024-54085 for four motherboard models impacted by the bug. The updates and recommended BMC firmware version users should upgrade to are: Given the severity of the vulnerability and the ability to perform remote exploitation, it is crucial to perform the firmware update as soon as possible. After downloading the latest BMC firmware update (.ima file), you can apply it through the web interface > Maintenance > Firmware Update, select the file, and click 'Start Firmware Update.' It is also recommended that you check the 'Full Flash' option. For detailed instructions on how to perform MBC firmware updates safely and troubleshooting,check ASUS FAQ here. Based on an analysis of 14M malicious actions, discover the top 10 MITRE ATT&CK techniques behind 93% of attacks and how to defend against them. ASUS warns of critical auth bypass flaw in routers using AiCloud CISA tags Broadcom Fabric OS, CommVault flaws as exploited in attacks SAP fixes suspected NetWeaver zero-day exploited in attacks Craft CMS RCE exploit chain used in zero-day attacks to steal data CISA flags Craft CMS code injection flaw as exploited in attacks"
