actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0089801521971821,0.013639847747981599,low,low,yes,same,False,False
0.0002600000007078,0.0003063213080167,4.63213073089e-05,low,low,yes,same,False,True
0.830269992351532,0.8006433844566345,0.02962660789489746,high,high,yes,same,True,True
0.001700000022538,0.0531781315803527,0.0514781315578147,low,low,yes,same,False,False
0.0004299999854993,0.0003646799304988,6.532005500049998e-05,low,low,yes,same,False,True
0.0004299999854993,1.6985875845421106e-05,0.00041301410965387887,low,low,yes,same,False,False
0.3505499958992004,0.3358199596405029,0.01473003625869751,medium,medium,yes,same,True,True
0.001979999942705,0.0580080226063728,0.0560280226636678,low,low,yes,same,False,False
0.0004299999854993,0.0007672598585486,0.00033725987304930003,low,low,yes,same,False,False
0.0004299999854993,0.0011220364831387,0.0006920364976394,low,low,yes,same,False,False
0.0088499998673796,0.0139202959835529,0.0050702961161733,low,low,yes,same,False,False
0.1370500028133392,0.2964450418949127,0.15939503908157351,medium,medium,yes,same,False,False
0.0432499982416629,0.0435221865773201,0.0002721883356571961,low,low,yes,same,True,True
0.0113599998876452,0.0244772396981716,0.013117239810526402,low,low,yes,same,False,False
0.0036299999337643,0.0033972305245697,0.00023276940919459994,low,low,yes,same,True,True
0.013600000180304,0.0191637743264436,0.005563774146139599,low,low,yes,same,False,False
0.0004299999854993,0.0020624352619051,0.0016324352764058002,low,low,yes,same,False,False
0.000609999988228,0.0047445958480238,0.0041345958597958,low,low,yes,same,False,False
0.0001500000071246,0.0081337708979845,0.0079837708908599,low,low,yes,same,False,False
0.1973699927330017,0.1619640886783599,0.03540590405464181,medium,medium,yes,same,False,False
0.0053599998354911,0.0068350681103765,0.0014750682748854004,low,low,yes,same,False,False
0.0004299999854993,0.0011708060046657,0.0007408060191664001,low,low,yes,same,False,False
0.0036899999249726,0.0305469185113906,0.026856918586417998,low,low,yes,same,False,False
0.0035300001036375,0.0060236048884689,0.0024936047848314,low,low,yes,same,False,False
0.1532499939203262,0.825604259967804,0.6723542660474777,high,medium,no,lower,False,False
0.0002099999983329,0.0018216512398794,0.0016116512415465,low,low,yes,same,False,False
0.0018799999961629,0.0129865063354372,0.0111065063392743,low,low,yes,same,False,False
0.001300000003539,0.0032156649976968,0.0019156649941578002,low,low,yes,same,False,False
0.3454099893569946,0.3442067503929138,0.001203238964080755,medium,medium,yes,same,True,True
0.0004299999854993,0.4013570547103882,0.4009270547248889,medium,low,no,lower,False,False
0.0002099999983329,0.0027062923181802,0.0024962923198473,low,low,yes,same,False,False
0.1720499992370605,0.7565775513648987,0.5845275521278381,high,medium,no,lower,False,False
