actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0968822538852691,0.0742622539401054,low,low,yes,same,False,False
0.0002600000007078,0.0019530523568391,0.0016930523561313,low,low,yes,same,False,False
0.830269992351532,0.7784581184387207,0.05181187391281128,high,high,yes,same,True,True
0.001700000022538,0.1749985218048095,0.17329852178227148,medium,low,no,lower,False,False
0.0004299999854993,0.0008682663319632,0.00043826634646390003,low,low,yes,same,False,False
0.0004299999854993,0.012483543716371,0.0120535437308717,low,low,yes,same,False,False
0.3505499958992004,0.0116315130144357,0.33891848288476467,low,medium,no,higher,False,False
0.001979999942705,0.5376954674720764,0.5357154675293714,medium,low,no,lower,False,False
0.0004299999854993,0.0013163929106667,0.0008863929251674001,low,low,yes,same,False,False
0.0004299999854993,0.0032105792779475,0.0027805792924482,low,low,yes,same,False,False
0.0088499998673796,0.0099703865125775,0.0011203866451979013,low,low,yes,same,False,True
0.1370500028133392,0.1951809227466583,0.05813091993331909,medium,medium,yes,same,False,False
0.0432499982416629,0.0441934093832969,0.0009434111416339944,low,low,yes,same,True,True
0.0113599998876452,0.0305196829140186,0.0191596830263734,low,low,yes,same,False,False
0.0036299999337643,0.102463811635971,0.0988338117022067,medium,low,no,lower,False,False
0.013600000180304,0.0347865410149097,0.0211865408346057,low,low,yes,same,False,False
0.0004299999854993,0.0058900718577206,0.0054600718722213,low,low,yes,same,False,False
0.000609999988228,0.0027764537371695,0.0021664537489414996,low,low,yes,same,False,False
0.0001500000071246,0.0009033650858327,0.0007533650787081,low,low,yes,same,False,False
0.1973699927330017,0.1174286380410194,0.07994135469198231,medium,medium,yes,same,False,False
0.0053599998354911,0.0084176203235983,0.0030576204881072,low,low,yes,same,False,False
0.0004299999854993,0.0009152992861345,0.0004852993006352001,low,low,yes,same,False,False
0.0036899999249726,0.031099921092391,0.0274099211674184,low,low,yes,same,False,False
0.0035300001036375,0.1174286380410194,0.11389863793738189,medium,low,no,lower,False,False
0.1532499939203262,0.9572075605392456,0.8039575666189194,high,medium,no,lower,False,False
0.0002099999983329,0.0848697200417518,0.0846597200434189,low,low,yes,same,False,False
0.0018799999961629,0.0134436953812837,0.011563695385120799,low,low,yes,same,False,False
0.001300000003539,0.0031942406203597,0.0018942406168207,low,low,yes,same,False,False
0.3454099893569946,0.3395849764347076,0.005825012922286987,medium,medium,yes,same,True,True
0.0004299999854993,0.0313856899738311,0.0309556899883318,low,low,yes,same,False,False
0.0002099999983329,0.3052581548690796,0.3050481548707467,medium,low,no,lower,False,False
0.1720499992370605,0.753204345703125,0.5811543464660645,high,medium,no,lower,False,False
0.0003100000030826,0.0061176707968115,0.0058076707937289,low,low,yes,same,False,False
0.0263100005686283,0.027098748832941,0.000788748264312699,low,low,yes,same,True,True
0.0001800000027287,0.0178329888731241,0.0176529888703954,low,low,yes,same,False,False
0.0004299999854993,0.1878484785556793,0.18741847857017999,medium,low,no,lower,False,False
0.0014799999771639,0.0037111735437065,0.0022311735665425996,low,low,yes,same,False,False
0.0002300000051036,0.0524284020066261,0.0521984020015225,low,low,yes,same,False,False
9.000000136438757e-05,0.1362795978784561,0.1361895978770917,medium,low,no,lower,False,False
0.0001999999949475,0.0044874213635921,0.0042874213686446006,low,low,yes,same,False,False
0.001189999980852,0.0094950767233967,0.0083050767425447,low,low,yes,same,False,False
0.0004299999854993,0.0076230322010815,0.0071930322155822,low,low,yes,same,False,False
0.0004299999854993,0.00641955062747,0.0059895506419707,low,low,yes,same,False,False
0.0003000000142492,0.4524567425251007,0.45215674251085153,medium,low,no,lower,False,False
0.0004299999854993,0.0033008782193064,0.0028708782338071,low,low,yes,same,False,False
0.0007500000065192,0.938222587108612,0.9374725871020928,high,low,no,lower,False,False
0.0004299999854993,0.0011460918467491,0.0007160918612498001,low,low,yes,same,False,False
0.0054100002162158,0.0074528902769088,0.0020428900606929996,low,low,yes,same,False,False
0.0001699999993434,0.0408897884190082,0.0407197884196648,low,low,yes,same,False,False
0.0002800000074785,0.0009142777416855,0.000634277734207,low,low,yes,same,False,False
0.002820000052452,0.0948339626193046,0.0920139625668526,low,low,yes,same,False,False
0.048089999705553,0.0120928408578038,0.0359971588477492,low,low,yes,same,False,False
0.0377900004386901,0.0359557084739208,0.001834291964769301,low,low,yes,same,True,True
0.9094899892807008,0.494376540184021,0.4151134490966798,medium,high,no,higher,False,False
0.0009500000160187,0.0056698061525821,0.0047198061365634,low,low,yes,same,False,False
0.0161799993366003,0.2627801299095154,0.24660013057291508,medium,low,no,lower,False,False
0.0006999999750405,0.0030955178663134,0.0023955178912729,low,low,yes,same,False,False
7.999999797903001e-05,0.0060068950988352,0.00592689510085617,low,low,yes,same,False,False
0.0004299999854993,0.0013125400291755,0.0008825400436762,low,low,yes,same,False,False
0.0004299999854993,0.0041974652558565,0.0037674652703572,low,low,yes,same,False,False
0.0004299999854993,0.0013511794386431,0.0009211794531438001,low,low,yes,same,False,False
0.1832800060510635,0.494376540184021,0.31109653413295746,medium,medium,yes,same,False,False
0.9345300197601318,0.0722949206829071,0.8622350990772247,low,high,no,higher,False,False
0.00044999999227,0.0201645102351903,0.019714510242920303,low,low,yes,same,False,False
0.0019700000993907,0.2265322804450988,0.2245622803457081,medium,low,no,lower,False,False
0.0778300017118454,0.1573845148086547,0.0795545130968093,medium,low,no,lower,False,False
0.2052199989557266,0.2103253304958343,0.005105331540107699,medium,medium,yes,same,True,True
0.0005300000193528,0.0057678022421896,0.0052378022228368,low,low,yes,same,False,False
0.0055399998091161,0.0707869902253151,0.065246990416199,low,low,yes,same,False,False
0.0003499999875202,0.3263259828090668,0.32597598282154655,medium,low,no,lower,False,False
0.1615500003099441,0.0053756800480186,0.1561743202619255,low,medium,no,higher,False,False
0.3338100016117096,0.494376540184021,0.1605665385723114,medium,medium,yes,same,False,False
0.0005000000237487,0.3684888184070587,0.36798881838331,medium,low,no,lower,False,False
0.0100499996915459,0.0051516154780983,0.004898384213447601,low,low,yes,same,False,False
0.0007699999841861,0.0036504343152046,0.0028804343310185002,low,low,yes,same,False,False
0.0004600000102072,0.0020830035209655,0.0016230035107582998,low,low,yes,same,False,False
0.0008200000156648,0.0022816751152276,0.0014616750995628,low,low,yes,same,False,False
0.0052399998530745,0.1387319713830948,0.1334919715300203,medium,low,no,lower,False,False
0.0094999996945261,0.006958014331758,0.0025419853627681004,low,low,yes,same,False,False
0.0003999999898951,0.0009185689268633,0.0005185689369682,low,low,yes,same,False,False
0.0003999999898951,0.9231290817260742,0.9227290817361791,high,low,no,lower,False,False
0.0004299999854993,0.0014201074372977,0.0009901074517984002,low,low,yes,same,False,False
0.0009100000024773,0.002129619475454,0.0012196194729767,low,low,yes,same,False,False
0.0040699997916817,0.0041414205916225,7.142079994080022e-05,low,low,yes,same,True,True
0.0013899999903514,0.0448722578585147,0.0434822578681633,low,low,yes,same,False,False
