actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0007094272878021,0.0219105726573616,low,low,yes,same,False,False
0.0002600000007078,0.0027379090897738,0.002477909089066,low,low,yes,same,False,False
0.830269992351532,0.8050627112388611,0.0252072811126709,high,high,yes,same,True,True
0.001700000022538,0.0007454771548509,0.0009545228676871,low,low,yes,same,False,False
0.0004299999854993,0.0005025845603086,7.258457480930003e-05,low,low,yes,same,False,True
0.0004299999854993,0.0058593801222741,0.0054293801367748,low,low,yes,same,False,False
0.3505499958992004,0.0857190266251564,0.264830969274044,low,medium,no,higher,False,False
0.001979999942705,0.4662069082260132,0.4642269082833082,medium,low,no,lower,False,False
0.0004299999854993,0.0010626489529386,0.0006326489674393001,low,low,yes,same,False,False
0.0004299999854993,0.0008157238480634,0.0003857238625641,low,low,yes,same,False,False
0.0088499998673796,0.0071963323280215,0.0016536675393580991,low,low,yes,same,False,False
0.1370500028133392,0.2960675954818725,0.1590175926685333,medium,medium,yes,same,False,False
0.0432499982416629,0.0391991287469863,0.004050869494676604,low,low,yes,same,False,True
0.0113599998876452,0.0901663526892662,0.078806352801621,low,low,yes,same,False,False
0.0036299999337643,0.0046522696502506,0.0010222697164862997,low,low,yes,same,False,False
0.013600000180304,0.0156372990459203,0.002037298865616299,low,low,yes,same,False,True
0.0004299999854993,0.0034206486307084,0.0029906486452091,low,low,yes,same,False,False
0.000609999988228,0.0009374258224852,0.0003274258342572,low,low,yes,same,False,False
0.0001500000071246,0.0029401401989161,0.0027901401917915,low,low,yes,same,False,False
0.1973699927330017,0.213781252503395,0.01641125977039329,medium,medium,yes,same,True,True
0.0053599998354911,0.0063908277079463,0.0010308278724551999,low,low,yes,same,False,True
0.0004299999854993,0.0013948526466265,0.0009648526611272001,low,low,yes,same,False,False
0.0036899999249726,0.0698605552315712,0.0661705553065986,low,low,yes,same,False,False
0.0035300001036375,0.0031223837286233,0.0004076163750142002,low,low,yes,same,False,True
0.1532499939203262,0.9397531747817992,0.786503180861473,high,medium,no,lower,False,False
0.0002099999983329,0.0039716414175927,0.0037616414192597997,low,low,yes,same,False,False
0.0018799999961629,0.0834612026810646,0.08158120268490171,low,low,yes,same,False,False
0.001300000003539,0.0022981357760727,0.0009981357725336998,low,low,yes,same,False,False
0.3454099893569946,0.3326006829738617,0.012809306383132879,medium,medium,yes,same,True,True
0.0004299999854993,0.0356919392943382,0.0352619393088389,low,low,yes,same,False,False
0.0002099999983329,0.0046458197757601,0.0044358197774272004,low,low,yes,same,False,False
0.1720499992370605,0.7224231958389282,0.5503731966018677,high,medium,no,lower,False,False
0.0003100000030826,0.0090385060757398,0.0087285060726572,low,low,yes,same,False,False
0.0263100005686283,0.0453943610191345,0.0190843604505062,low,low,yes,same,False,False
0.0001800000027287,0.0003560645272955,0.00017606452456680002,low,low,yes,same,False,False
0.0004299999854993,0.3072868287563324,0.3068568287708331,medium,low,no,lower,False,False
0.0014799999771639,0.0019441479817032,0.0004641480045393001,low,low,yes,same,False,False
0.0002300000051036,0.0013474243460223,0.0011174243409187,low,low,yes,same,False,False
9.000000136438757e-05,0.0005195390549488,0.00042953905358441246,low,low,yes,same,False,False
0.0001999999949475,0.0007709992933087,0.0005709992983612,low,low,yes,same,False,False
0.001189999980852,0.0067951399832963,0.0056051400024443,low,low,yes,same,False,False
0.0004299999854993,0.0018176056910306,0.0013876057055313001,low,low,yes,same,False,False
0.0004299999854993,0.0011169837089255,0.0006869837234262,low,low,yes,same,False,False
0.0003000000142492,0.0043469094671308,0.0040469094528816,low,low,yes,same,False,False
0.0004299999854993,0.00228932662867,0.0018593266431707002,low,low,yes,same,False,False
0.0007500000065192,0.0061611710116267,0.0054111710051075,low,low,yes,same,False,False
0.0004299999854993,0.0036425983998924,0.0032125984143931,low,low,yes,same,False,False
0.0054100002162158,0.0075184796005487,0.0021084793843328996,low,low,yes,same,False,False
