actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0984583422541618,0.0758383423089981,low,low,yes,same,False,False
0.0002600000007078,0.0055645210668444,0.0053045210661366,low,low,yes,same,False,False
0.830269992351532,0.202780544757843,0.627489447593689,medium,high,no,higher,False,False
0.001700000022538,0.0105148423463106,0.0088148423237726,low,low,yes,same,False,False
0.0004299999854993,0.0110721131786704,0.010642113193171099,low,low,yes,same,False,False
0.0004299999854993,0.0080743934959173,0.007644393510418,low,low,yes,same,False,False
0.3505499958992004,0.1519944965839386,0.19855549931526179,medium,medium,yes,same,False,False
0.001979999942705,0.1793330013751983,0.1773530014324933,medium,low,no,lower,False,False
0.0004299999854993,0.0304977130144834,0.0300677130289841,low,low,yes,same,False,False
0.0004299999854993,0.0203613713383674,0.0199313713528681,low,low,yes,same,False,False
0.0088499998673796,0.1519944965839386,0.143144496716559,medium,low,no,lower,False,False
0.1370500028133392,0.3228029906749725,0.18575298786163327,medium,medium,yes,same,False,False
0.0432499982416629,0.0110721131786704,0.0321778850629925,low,low,yes,same,False,False
0.0113599998876452,0.1149758175015449,0.1036158176138997,medium,low,no,lower,False,False
0.0036299999337643,0.1519944965839386,0.1483644966501743,medium,low,no,lower,False,False
0.013600000180304,0.0164976902306079,0.0028976900503038996,low,low,yes,same,False,True
0.0004299999854993,0.1519944965839386,0.1515644965984393,medium,low,no,lower,False,False
0.000609999988228,0.1519944965839386,0.1513844965957106,medium,low,no,lower,False,False
0.0001500000071246,0.0135670443996787,0.0134170443925541,low,low,yes,same,False,False
0.1973699927330017,0.3228029906749725,0.12543299794197077,medium,medium,yes,same,False,False
0.0053599998354911,0.0304977130144834,0.0251377131789923,low,low,yes,same,False,False
0.0004299999854993,0.1519944965839386,0.1515644965984393,medium,low,no,lower,False,False
0.0036899999249726,0.0050864396616816,0.001396439736709,low,low,yes,same,False,False
0.0035300001036375,0.0043088332749903,0.0007788331713528,low,low,yes,same,False,True
0.1532499939203262,0.2006008923053741,0.047350898385047885,medium,medium,yes,same,False,False
0.0002099999983329,0.0984583422541618,0.09824834225582889,low,low,yes,same,False,False
0.0018799999961629,0.0111942645162343,0.0093142645200714,low,low,yes,same,False,False
0.001300000003539,0.1021909043192863,0.1008909043157473,medium,low,no,lower,False,False
