actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0997688993811607,0.077148899435997,low,low,yes,same,False,False
0.0002600000007078,0.0057181995362043,0.0054581995354965,low,low,yes,same,False,False
0.830269992351532,0.3318645358085632,0.4984054565429688,medium,high,no,higher,False,False
0.001700000022538,0.0112829348072409,0.009582934784702901,low,low,yes,same,False,False
0.0004299999854993,0.0014536461094394,0.0010236461239401002,low,low,yes,same,False,False
0.0004299999854993,0.0006251467857509,0.00019514680025160006,low,low,yes,same,False,False
0.3505499958992004,0.3455527424812317,0.0049972534179686945,medium,medium,yes,same,True,True
0.001979999942705,0.1592804044485092,0.15730040450580418,medium,low,no,lower,False,False
0.0004299999854993,0.0019330923678353,0.001503092382336,low,low,yes,same,False,False
0.0004299999854993,0.0035573735367506,0.0031273735512513,low,low,yes,same,False,False
0.0088499998673796,0.3455527424812317,0.3367027426138521,medium,low,no,lower,False,False
0.1370500028133392,0.3088487386703491,0.17179873585700992,medium,medium,yes,same,False,False
0.0432499982416629,0.0171656925231218,0.026084305718541104,low,low,yes,same,False,False
0.0113599998876452,0.1326032727956771,0.1212432729080319,medium,low,no,lower,False,False
0.0036299999337643,0.3455527424812317,0.3419227425474674,medium,low,no,lower,False,False
0.013600000180304,0.0207123197615146,0.007112319581210601,low,low,yes,same,False,False
0.0004299999854993,0.3455527424812317,0.3451227424957324,medium,low,no,lower,False,False
0.000609999988228,0.3455527424812317,0.34494274249300366,medium,low,no,lower,False,False
0.0001500000071246,0.0299334377050399,0.0297834376979153,low,low,yes,same,False,False
0.1973699927330017,0.3088487386703491,0.11147874593734741,medium,medium,yes,same,False,False
0.0053599998354911,0.0808464288711547,0.0754864290356636,low,low,yes,same,False,False
0.0004299999854993,0.0050555565394461,0.0046255565539468,low,low,yes,same,False,False
0.0036899999249726,0.0085361618548631,0.0048461619298904995,low,low,yes,same,False,False
0.0035300001036375,0.0039949980564415,0.0004649979528040002,low,low,yes,same,False,True
0.1532499939203262,0.3269201219081878,0.1736701279878616,medium,medium,yes,same,False,False
0.0002099999983329,0.0997688993811607,0.09955889938282779,low,low,yes,same,False,False
0.0018799999961629,0.0997688993811607,0.0978888993849978,low,low,yes,same,False,False
0.001300000003539,0.1891148686408996,0.1878148686373606,medium,low,no,lower,False,False
0.3454099893569946,0.2000299841165542,0.14538000524044037,medium,medium,yes,same,False,False
0.0004299999854993,0.1891148686408996,0.1886848686554003,medium,low,no,lower,False,False
0.0002099999983329,0.0207123197615146,0.0205023197631817,low,low,yes,same,False,False
0.1720499992370605,0.0997688993811607,0.0722810998558998,low,medium,no,higher,False,False
0.0003100000030826,0.0115097220987081,0.011199722095625501,low,low,yes,same,False,False
0.0263100005686283,0.3455527424812317,0.3192427419126034,medium,low,no,lower,False,False
0.0001800000027287,0.0363172553479671,0.0361372553452384,low,low,yes,same,False,False
0.0004299999854993,0.239529862999916,0.23909986301441669,medium,low,no,lower,False,False
0.0014799999771639,0.0067409561015665,0.0052609561244026,low,low,yes,same,False,False
0.0002300000051036,0.1020828783512115,0.1018528783461079,medium,low,no,lower,False,False
9.000000136438757e-05,0.0009698905632831,0.0008798905619187124,low,low,yes,same,False,False
0.0001999999949475,0.0043860413134098,0.0041860413184623,low,low,yes,same,False,False
0.001189999980852,0.008659060113132,0.00746906013228,low,low,yes,same,False,False
0.0004299999854993,0.3455527424812317,0.3451227424957324,medium,low,no,lower,False,False
0.0004299999854993,0.0042898878455162,0.0038598878600168995,low,low,yes,same,False,False
0.0003000000142492,0.0266856551170349,0.0263856551027857,low,low,yes,same,False,False
0.0004299999854993,0.0035309740342199,0.0031009740487206,low,low,yes,same,False,False
0.0007500000065192,0.3455527424812317,0.3448027424747125,medium,low,no,lower,False,False
0.0004299999854993,0.0997688993811607,0.0993388993956614,low,low,yes,same,False,False
0.0054100002162158,0.057835504412651,0.0524255041964352,low,low,yes,same,False,False
0.0001699999993434,0.009441296570003,0.0092712965706596,low,low,yes,same,False,False
0.0002800000074785,0.0036138920113444,0.0033338920038659,low,low,yes,same,False,False
0.002820000052452,0.0808464288711547,0.0780264288187027,low,low,yes,same,False,False
0.048089999705553,0.0073725152760744,0.0407174844294786,low,low,yes,same,False,False
0.0377900004386901,0.0307435020804405,0.007046498358249602,low,low,yes,same,False,False
0.9094899892807008,0.3318645358085632,0.5776254534721377,medium,high,no,higher,False,False
0.0009500000160187,0.1411984413862228,0.14024844137020412,medium,low,no,lower,False,False
0.0161799993366003,0.0207123197615146,0.004532320424914301,low,low,yes,same,False,False
0.0006999999750405,0.0033987145870923,0.0026987146120518,low,low,yes,same,False,False
7.999999797903001e-05,0.0047878320328891,0.00470783203491007,low,low,yes,same,False,False
0.0004299999854993,0.0005026161670684,7.261618156910004e-05,low,low,yes,same,False,True
0.0004299999854993,0.001738236984238,0.0013082369987387,low,low,yes,same,False,False
0.0004299999854993,0.0036577775608748,0.0032277775753754997,low,low,yes,same,False,False
0.1832800060510635,0.3455527424812317,0.16227273643016818,medium,medium,yes,same,False,False
0.9345300197601318,0.563713550567627,0.3708164691925049,medium,high,no,higher,False,False
0.00044999999227,0.0057355384342372,0.0052855384419672,low,low,yes,same,False,False
0.0019700000993907,0.3455527424812317,0.343582742381841,medium,low,no,lower,False,False
0.0778300017118454,0.103459358215332,0.025629356503486606,medium,low,no,lower,False,False
0.2052199989557266,0.3455527424812317,0.1403327435255051,medium,medium,yes,same,False,False
0.0005300000193528,0.0857352763414383,0.0852052763220855,low,low,yes,same,False,False
0.0055399998091161,0.3318645358085632,0.32632453599944705,medium,low,no,lower,False,False
0.0003499999875202,0.009441296570003,0.0090912965824828,low,low,yes,same,False,False
0.1615500003099441,0.239529862999916,0.0779798626899719,medium,medium,yes,same,False,False
0.3338100016117096,0.1865633875131607,0.1472466140985489,medium,medium,yes,same,False,False
0.0005000000237487,0.0997688993811607,0.099268899357412,low,low,yes,same,False,False
0.0100499996915459,0.103459358215332,0.0934093585237861,medium,low,no,lower,False,False
0.0007699999841861,0.0025586271658539,0.0017886271816678,low,low,yes,same,False,False
0.0004600000102072,0.0017984478035941,0.0013384477933869,low,low,yes,same,False,False
0.0008200000156648,0.0538658387959003,0.053045838780235506,low,low,yes,same,False,False
0.0052399998530745,0.1592804044485092,0.1540404045954347,medium,low,no,lower,False,False
0.0094999996945261,0.0041206032037734,0.0053793964907527005,low,low,yes,same,False,False
0.0003999999898951,0.3455527424812317,0.3451527424913366,medium,low,no,lower,False,False
0.0003999999898951,0.0058253617025911,0.005425361712696,low,low,yes,same,False,False
0.0004299999854993,0.0027989475056529,0.0023689475201536,low,low,yes,same,False,False
0.0009100000024773,0.0034515971783548,0.0025415971758774997,low,low,yes,same,False,False
0.0040699997916817,0.0363172553479671,0.0322472555562854,low,low,yes,same,False,False
0.0013899999903514,0.0808464288711547,0.0794564288808033,low,low,yes,same,False,False
0.0002300000051036,0.0131731405854225,0.0129431405803189,low,low,yes,same,False,False
0.0012600000482052,0.3455527424812317,0.3442927424330265,medium,low,no,lower,False,False
0.0011399999493733,0.0029187167529016,0.0017787168035283,low,low,yes,same,False,False
0.9439799785614014,0.2000299841165542,0.7439499944448471,medium,high,no,higher,False,False
0.002820000052452,0.0808464288711547,0.0780264288187027,low,low,yes,same,False,False
0.9373000264167786,0.103459358215332,0.8338406682014465,medium,high,no,higher,False,False
0.0003300000098533,0.103459358215332,0.10312935820547871,medium,low,no,lower,False,False
0.0001900000061141,0.0020030350424349,0.0018130350363208,low,low,yes,same,False,False
