actual,predicted,absolute_difference,predicted_category,actual_category,category_match,score_comparison,within_10_percent,within_20_percent
0.0226199999451637,0.0800066143274307,0.057386614382267,low,low,yes,same,False,False
0.0002600000007078,0.0037300470285117,0.0034700470278039,low,low,yes,same,False,False
0.830269992351532,0.239951491355896,0.590318500995636,medium,high,no,higher,False,False
0.001700000022538,0.0061566643416881,0.0044566643191500995,low,low,yes,same,False,False
0.0004299999854993,0.0035882520023733,0.003158252016874,low,low,yes,same,False,False
0.0004299999854993,0.0041947280988097,0.0037647281133104,low,low,yes,same,False,False
0.3505499958992004,0.173846423625946,0.1767035722732544,medium,medium,yes,same,False,False
0.001979999942705,0.1806585490703582,0.17867854912765319,medium,low,no,lower,False,False
0.0004299999854993,0.0212398003786802,0.0208098003931809,low,low,yes,same,False,False
0.0004299999854993,0.0255324617028236,0.0251024617173243,low,low,yes,same,False,False
0.0088499998673796,0.0161332357674837,0.007283235900104101,low,low,yes,same,False,False
0.1370500028133392,0.271062970161438,0.13401296734809878,medium,medium,yes,same,False,False
0.0432499982416629,0.0398971028625965,0.003352895379066405,low,low,yes,same,True,True
0.0113599998876452,0.0524671375751495,0.041107137687504305,low,low,yes,same,False,False
0.0036299999337643,0.0039793979376554,0.00034939800389110045,low,low,yes,same,True,True
0.013600000180304,0.0112346205860376,0.0023653795942664008,low,low,yes,same,False,False
0.0004299999854993,0.173846423625946,0.17341642364044668,medium,low,no,lower,False,False
0.000609999988228,0.002482431475073,0.0018724314868449998,low,low,yes,same,False,False
0.0001500000071246,0.019606152549386,0.0194561525422614,low,low,yes,same,False,False
0.1973699927330017,0.271062970161438,0.07369297742843628,medium,medium,yes,same,False,False
0.0053599998354911,0.0047540990635752,0.0006059007719158996,low,low,yes,same,False,True
0.0004299999854993,0.173846423625946,0.17341642364044668,medium,low,no,lower,False,False
0.0036899999249726,0.0395636595785617,0.0358736596535891,low,low,yes,same,False,False
0.0035300001036375,0.0030740851070731,0.0004559149965644004,low,low,yes,same,False,True
0.1532499939203262,0.2126690000295639,0.0594190061092377,medium,medium,yes,same,False,False
0.0002099999983329,0.0800066143274307,0.07979661432909779,low,low,yes,same,False,False
0.0018799999961629,0.0800066143274307,0.0781266143312678,low,low,yes,same,False,False
0.001300000003539,0.0798090919852256,0.0785090919816866,low,low,yes,same,False,False
0.3454099893569946,0.2176010608673095,0.1278089284896851,medium,medium,yes,same,False,False
0.0004299999854993,0.0798090919852256,0.0793790919997263,low,low,yes,same,False,False
0.0002099999983329,0.0112346205860376,0.0110246205877047,low,low,yes,same,False,False
0.1720499992370605,0.0800066143274307,0.0920433849096298,low,medium,no,higher,False,False
0.0003100000030826,0.0314754284918308,0.031165428488748197,low,low,yes,same,False,False
0.0263100005686283,0.173846423625946,0.14753642305731768,medium,low,no,lower,False,False
0.0001800000027287,0.0255324617028236,0.025352461700094902,low,low,yes,same,False,False
0.0004299999854993,0.3060394823551178,0.3056094823696185,medium,low,no,lower,False,False
0.0014799999771639,0.0101337162777781,0.0086537163006142,low,low,yes,same,False,False
0.0002300000051036,0.1349806487560272,0.1347506487509236,medium,low,no,lower,False,False
