Channel Name,Has CVE (1/0)
Anixxlo,0
BigBentleyTruckk,0
BiggestStraymania,0
BluezzBS,0
CVE_Updates,1
CyberSachok,0
DAIMON200,0
DashCamUA,0
Devixblues,0
ExploitNexus_Discuss,0
GwaRdo0,0
KISSSLOTA3,0
KharkivPolitics,0
Last_day_zero,0
Mira_Mirotvorec,0
NoZeroDays2022,0
POCProofOfConcept,0
Positive_Technologies,1
QResMinistrlerKenesi,0
RSNPZD,0
RoSploits,0
RusBerNews,0
StackOverflowVoting,0
TheCompletePentesti,0
TheCompletePentestin,0
TheCompletePentesting,0
VA_Kyiv,0
Vulnerability09,0
WWJNR2025,0
Z_Security,1
ZeroDay_Group,0
ZerodayAlert,1
alexredsec,0
alukatsky,1
alwayask,0
appsecfest,0
arigameh,0
atomic_threat_coverage,0
attack_TA0004,0
attack_TA0006,0
attack_community,0
attack_community_channel,0
attack_community_dc_0,0
attack_community_dc_1,0
attack_community_dc_3,0
attack_community_dc_4,0
avito_auto_journal,0
avleonovchat,1
avleonovcom,1
avleonovlive,1
avleonovrus,1
ax_babe,0
babaykaaaaaasass,0
babofail,0
bann1hopper_tg,0
bdufstecru,1
beatriceforeveryday,0
bessec,0
bezzzdelynik,0
bigbentleytruckkk,0
blickyhomeboy,0
brygada47,0
budaog,0
butique1_1,0
choppaderich673,0
chromych,0
codeinchik125,0
codyyfuckfeel,0
csharpsotop,0
cyber_edu,0
cyberok_news,1
d4pd4,0
day0vpn,1
desingbysteekee,0
diesharp,0
digitaledu_uz,0
digitalrok,0
doka_ezz,0
dokaezzz,0
dokanegr,0
doshikkk148,0
download_master_pro,0
dudemadee,0
dumboshawty,0
eXPLOITING_BOF,0
e_kaspersky,1
edohunnidz,0
escapethematrixSANDBOX,0
exploit_live,0
exploitc,0
exploitcustom,0
exploitex,0
exploitorg,0
finqqfuckgarageband,0
flakekitchen,0
frezilug,0
gaytrashoverflow,0
geeko_prod,0
geminimix,0
gerfuckthisshit,0
goatzill,0
gorizont_uz,0
gwardotop1,0
hoooost,0
ilovevillains,0
is_0day,0
jaslar_isleri_agentligi,0
jeyki1,0
jmpreverse,0
johngarik_473,0
joqargikenes,0
jssotop,0
k3hreviews,0
kaspersky_career,0
kasperskyb2b,1
kasperskyclub,0
kasperskylab_ru,1
kkeduuz,0
kknews_live,0
kknews_sport,0
kknews_uz,0
kkrkdll,0
latest_cve_feed,1
lilforeign,0
lilotonin2,0
lilshaimie,0
litonswagga,0
luvdakash,0
luvxomea,0
magnum_opu3,0
markuhadsgn,0
mayotofficialchannel,0
melokiddd,0
memekatz,0
mentaay,0
mhclabel,0
molly_studios,0
molodoykaluga,0
myha03,0
neWWave2024,0
nison_b,0
no_zero_days,0
nukusibcuz,0
nukuspress,0
omgphil,0
operativnoZSU,0
package_security,0
papirosski,0
pittkiid,0
plusskywoo,0
productDuckDuck,0
proof_of_concepts,0
proofc9,0
proofofconcepts,0
ptcareerhub,0
ptescalator,1
purpl3wayy,0
qrdev,0
randomcrew1,0
repl1ka_qq,0
safebdv,0
salvaez,0
secinfosec,0
sesyrity,0
slattsavage,0
slayzero,0
slivydownload,0
sly_sheen,0
soldatov_in_telegram,0
stack_overflow_ru,0
stepupk,0
stormflp,0
strOPTIMZ,0
sydnoinfo,0
tears_and_fears,0
teenxdmdonthebeat,0
this0day,0
tpmothree,0
unkichat,0
unknxwn673,0
unnaflex,0
uzbekistan24_tvnews,0
v1vs1reezey,0
visagangbeatzofficial,0
vulnerability,0
vulnerability1,0
vulnerability3107,0
vulnerability_and_adaptation,0
vulnerabilitypower,0
waynenosense,0
whytemm,0
wormganger,0
x86hook,0
yardbo10,0
ysm420,0
zeroavgup,0
zeroday_ua,0
zerodayse,0
zlonov,0
